id,original_title,original_language,genre,overview,popularity,vote_count,vote_average,release_date
12477,火垂るの墓,ja,"Animation, Drama, War","In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.0082,6234,8.446,1988-04-16
637,La vita è bella,it,"Comedy, Drama",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,8.5619,13677,8.441,1997-12-20
550,Fight Club,en,"Drama, Thriller","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",25.0633,31114,8.438,1999-10-15
14537,切腹,ja,"Action, Drama, History","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",3.6641,1135,8.434,1962-09-15
11216,Nuovo Cinema Paradiso,it,"Drama, Romance","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",5.9302,4673,8.427,1988-11-17
598,Cidade de Deus,pt,"Drama, Crime","In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",7.8297,7906,8.4,2002-08-30
120,The Lord of the Rings: The Fellowship of the Ring,en,"Adventure, Fantasy, Action","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",23.4022,26701,8.426,2001-12-18
667257,Cosas imposibles,es,"Family, Drama","After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",4.3798,418,8.425,2021-06-17
539,Psycho,en,"Horror, Thriller, Mystery","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",9.3412,10674,8.42,1960-06-22
40096,O Auto da Compadecida,pt,"Comedy, Drama, Fantasy, Romance","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",4.647,1194,8.419,2000-09-15
510,One Flew Over the Cuckoo's Nest,en,Drama,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",8.7801,11079,8.4,1975-11-19
121,The Lord of the Rings: The Two Towers,en,"Adventure, Fantasy, Action","Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",20.3585,23181,8.411,2002-12-18
696374,Gabriel's Inferno,en,"Romance, Drama","An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",3.6654,2438,8.4,2020-05-29
255709,소원,ko,Drama,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",2.6809,811,8.4,2013-10-02
311,Once Upon a Time in America,en,"Drama, Crime","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",9.3216,5812,8.396,1984-05-23
324857,Spider-Man: Into the Spider-Verse,en,"Animation, Action, Adventure, Science Fiction","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",15.9764,16676,8.394,2018-12-06
1891,The Empire Strikes Back,en,"Adventure, Action, Science Fiction","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",6.9208,17897,8.393,1980-05-20
4935,ハウルの動く城,ja,"Fantasy, Animation, Adventure","Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",12.906,10671,8.39,2004-09-09
378064,映画 聲の形,ja,"Animation, Drama, Romance","Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",10.6941,4290,8.386,2016-09-17
807,Se7en,en,"Crime, Mystery, Thriller","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",14.7998,22382,8.378,1995-09-22
423,The Pianist,en,"Drama, War","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",8.1136,9804,8.379,2002-09-17
244786,Whiplash,en,"Drama, Music","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",14.0022,16132,8.375,2014-10-10
770156,Lucy Shimmers and the Prince of Peace,en,"Drama, Family",Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,3.0141,330,8.4,2020-10-19
27205,Inception,en,"Action, Science Fiction, Adventure","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",36.2862,38375,8.371,2010-07-15
724089,Gabriel's Inferno: Part II,en,"Romance, Drama","Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",1.094,1534,8.4,2020-07-31
761053,Gabriel's Inferno: Part III,en,"Romance, Drama",The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,5.2122,1071,8.4,2020-11-19
1058694,Radical,es,Drama,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",6.8117,483,8.355,2023-10-19
12493,天国と地獄,ja,"Drama, Crime",A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,6.5437,1056,8.349,1963-03-01
567,Rear Window,en,"Thriller, Mystery",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,4.9703,6925,8.348,1954-08-01
274,The Silence of the Lambs,en,"Crime, Thriller, Drama","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",3.5644,17352,8.346,1991-02-14
569094,Spider-Man: Across the Spider-Verse,en,"Animation, Action, Adventure, Science Fiction","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",28.6409,8098,8.337,2023-05-31
73,American History X,en,Drama,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",6.4988,12207,8.33,1998-07-01
620249,罗小黑战记,zh,"Animation, Fantasy, Action","When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",7.4357,427,8.328,2019-08-27
128,もののけ姫,ja,"Adventure, Fantasy, Animation","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",9.3955,8645,8.324,1997-07-12
105,Back to the Future,en,"Adventure, Comedy, Science Fiction","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",17.1203,21166,8.322,1985-07-03
820067,映画 五等分の花嫁,ja,"Animation, Comedy, Romance","When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",5.8583,426,8.3,2022-05-20
1184918,The Wild Robot,en,"Animation, Science Fiction, Family, Adventure, Drama","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",16.6695,5567,8.317,2024-09-12
3782,生きる,ja,Drama,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",6.6858,1263,8.315,1952-10-09
372754,同級生,ja,"Romance, Animation","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",4.7972,420,8.3,2016-02-20
207,Dead Poets Society,en,Drama,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",10.4715,12101,8.302,1989-06-02
101,Léon,fr,"Crime, Drama, Action","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",11.1251,15622,8.299,1994-09-14
10494,PERFECT BLUE,ja,"Animation, Thriller","Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",9.3192,3000,8.297,1998-02-28
1218925,劇場版 チェンソーマン レゼ篇,ja,"Animation, Action, Romance, Fantasy","In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",111.1671,467,8.289,2025-09-19
652837,ジョゼと虎と魚たち,ja,"Animation, Drama, Romance","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2.5948,552,8.3,2020-12-25
533514,劇場版 ヴァイオレット・エヴァーガーデン,ja,"Animation, Fantasy, Romance, Drama","As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2.5383,472,8.29,2020-09-18
914,The Great Dictator,en,"Comedy, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,2.6968,3572,8.289,1940-10-15
15804,牯嶺街少年殺人事件,zh,"Crime, Drama, Romance","A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",5.3921,364,8.3,1991-07-27
599,Sunset Boulevard,en,Drama,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,2.5252,2805,8.288,1950-08-10
644479,Dedicada A Mi Ex,es,"Drama, Comedy","The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",0.6151,513,8.3,2019-11-01
42269,C'eravamo tanto amati,it,"Drama, Comedy","Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",3.7373,625,8.3,1974-12-21
3082,Modern Times,en,"Comedy, Drama, Romance","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",2.9479,3939,8.283,1936-02-05
335,C'era una volta il West,it,"Drama, Western","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",10.9015,4705,8.281,1968-12-21
1139087,Once Upon a Studio,en,"Animation, Family, Fantasy, Comedy","Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",2.9477,410,8.28,2023-09-24
1356039,Contraataque,es,"Action, Adventure, Thriller","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",6.5347,770,8.276,2025-02-27
1186532,The Forge,en,"Drama, Family","19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",11.8094,310,8.276,2024-08-22
1585,It's a Wonderful Life,en,"Drama, Family, Fantasy","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",20.2094,4681,8.3,1946-12-20
77338,Intouchables,fr,"Drama, Comedy",A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,10.3021,18009,8.271,2011-11-02
92321,蛍火の杜へ,ja,"Romance, Animation, Fantasy","One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.0033,1184,8.27,2011-09-17
18491,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,ja,"Animation, Science Fiction, Drama, Fantasy","SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",5.6305,1756,8.269,1997-07-19
28,Apocalypse Now,en,"Drama, War","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",7.9641,8765,8.269,1979-05-19
901,City Lights,en,"Comedy, Drama, Romance",A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,2.3164,2358,8.26,1931-02-06
975,Paths of Glory,en,"War, Drama",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,2.9094,3149,8.259,1957-10-25
632632,映画 ギヴン,ja,"Animation, Drama, Music, Romance","Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",4.8202,410,8.3,2020-08-22
8587,The Lion King,en,"Family, Animation, Drama, Adventure","Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",15.325,19208,8.256,1994-06-15
637920,7. Koğuştaki Mucize,tr,Drama,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",4.7829,4505,8.255,2019-10-10
654299,Como caído del cielo,es,"Comedy, Drama, Music","Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",0.7949,369,8.249,2019-12-24
10376,La leggenda del pianista sull'oceano,it,"Drama, Music","The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",3.5195,2373,8.247,1998-10-28
504253,君の膵臓をたべたい,ja,"Animation, Drama, Romance","After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",8.4306,1693,8.2,2018-09-01
670,올드보이,ko,"Drama, Thriller, Mystery, Action","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",14.4009,9407,8.244,2003-11-21
572154,青春ブタ野郎はゆめみる少女の夢を見ない,ja,"Animation, Romance, Drama, Fantasy","In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",1.8199,569,8.2,2019-06-15
29259,Le Trou,fr,"Drama, Thriller, Crime","Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured.",1.9029,536,8.24,1960-03-18
630566,Clouds,en,"Music, Drama, Romance","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2.0819,1039,8.238,2020-10-09
447362,Life in a Year,en,"Drama, Romance","A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",3.1046,1947,8.238,2020-11-27
299534,Avengers: Endgame,en,"Adventure, Science Fiction, Action","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",16.8872,27016,8.237,2019-04-24
603,The Matrix,en,"Action, Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",24.7992,27110,8.236,1999-03-31
299536,Avengers: Infinity War,en,"Adventure, Action, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",23.2062,31232,8.235,2018-04-25
568332,Taylor Swift: Reputation Stadium Tour,en,Music,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",1.1737,416,8.228,2018-12-31
508965,Klaus,en,"Animation, Family, Adventure, Comedy, Fantasy","A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",13.6194,4444,8.225,2019-11-08
490132,Green Book,en,"Drama, Comedy, History","Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",9.9962,12437,8.225,2018-11-16
25237,Иди и смотри,ru,"Drama, War","The invasion of a village in Belarus by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",5.2268,1712,8.224,1985-10-17
527641,Five Feet Apart,en,"Romance, Drama","Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",4.2058,5828,8.223,2019-03-14
24188,Il sorpasso,it,"Drama, Comedy, Adventure","Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",4.6877,816,8.221,1962-12-05
