order_id,product_id,add_to_cart_order,reordered,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_name,aisle_id,department_id
159868,37766,9,1,21643,prior,45,1,10,4.0,XL Emerald White Seedless Grapes,123,4
664649,20114,9,1,80112,prior,18,5,18,6.0,Jalapeno Peppers,83,4
1997864,13457,12,0,17082,prior,12,0,15,20.0,Pad Thai Brown Rice Noodles,66,6
736475,12916,15,1,139231,prior,12,5,13,26.0,Ginger Ale,77,7
2247363,24852,1,1,188096,prior,16,3,9,6.0,Banana,24,4
1360959,21137,3,1,43467,prior,82,5,7,4.0,Organic Strawberries,24,4
802514,21616,12,0,101802,prior,1,1,12,,Organic Baby Arugula,123,4
1149336,21405,14,1,14868,prior,8,3,14,2.0,"Organic Red Radish, Bunch",83,4
105763,44867,9,1,107066,prior,10,2,6,9.0,Soft & Chewy Candy,45,19
910262,43772,6,1,106189,prior,22,1,13,7.0,Cherubs Heavenly Salad Tomatoes,83,4
2929711,44325,17,0,201916,prior,7,0,14,30.0,Elbow Macaroni Pasta,131,9
2365263,2854,4,0,71178,prior,1,2,7,,King Size Peanut Butter Cups Candy,45,19
2960793,6343,26,0,60152,prior,16,1,9,14.0,"Pizza Poppers, Three Cheese",129,1
2734486,3661,3,0,114701,prior,39,0,9,6.0,S'mores Luna Bar,3,19
1669207,48109,23,1,202484,prior,36,0,9,6.0,"Tortilla Chips, Clasico, Jalapeno Lime",107,19
2116008,45946,1,1,136393,prior,32,1,14,6.0,Organic Greek Plain Lowfat Yogurt,120,16
271320,24964,5,1,64833,prior,6,0,14,4.0,Organic Garlic,83,4
1974580,23473,41,0,105367,prior,25,0,10,6.0,Organic Mulberries Raw,117,19
759480,33716,2,1,148909,prior,2,5,11,30.0,Apple Pie Fruit & Nut Food Bar,3,19
1191964,5025,14,1,14962,prior,15,0,10,5.0,Green Onions,83,4
1427606,13265,10,1,30851,prior,4,3,11,30.0,"Plus Febreze Freshness Spring And Renewal Scent HE Turbo Clean Liquid Laundry Detergent, 92 oz, 48 loads Laundry",75,17
275113,49683,54,0,44337,prior,4,0,12,30.0,Cucumber Kirby,83,4
1726314,5322,7,0,108890,prior,4,3,14,8.0,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,3,19
1367473,18465,2,1,176965,prior,7,5,18,17.0,Organic Grade A Free Range Large Brown Eggs,86,16
2109028,2295,6,1,4203,prior,13,0,6,11.0,Yellow Bell Pepper,83,4
2057343,30391,3,1,110980,prior,65,3,13,5.0,Organic Cucumber,83,4
3309773,10041,2,0,64782,prior,1,2,14,,Salted Pretzels Rods,107,19
877222,27511,4,1,44627,prior,3,0,17,5.0,"Milk, Organic, Fat Free",84,16
2503345,40366,7,0,75446,prior,79,3,15,5.0,Mini Vanilla Wafers Cookies,61,19
1329209,47766,3,1,51366,train,11,4,10,30.0,Organic Avocado,24,4
329637,42535,20,0,190713,prior,3,2,10,5.0,Assorted Chocolate Miniatures Chocolate Candy Bars,45,19
1949501,41220,3,1,171654,prior,13,4,21,3.0,Organic Romaine Lettuce,83,4
5016,6740,1,1,164949,prior,17,3,10,5.0,Organic Braeburn Apple,24,4
383053,4939,10,0,49040,train,4,6,11,30.0,Ciabatta Rolls Take & Bake,112,3
2588911,23645,6,1,133254,prior,17,2,16,9.0,Sour Cream & Onion Potato Chips,107,19
2179640,21376,31,1,139851,prior,47,5,18,6.0,Pretzel Crisps Original Deli Style Pretzel Crackers,107,19
667624,39877,5,1,43351,prior,42,1,22,4.0,Organic Granny Smith Apple,24,4
1669665,28156,13,0,116296,prior,5,1,16,13.0,Total 0% Nonfat Plain Greek Yogurt,120,16
560434,432,1,0,135572,prior,2,0,10,14.0,Vanilla Almond Breeze Almond Milk,91,16
3105713,27336,11,1,129114,prior,42,1,8,8.0,Organic Rainbow Carrots,123,4
2637446,24852,4,1,48409,prior,18,1,8,15.0,Banana,24,4
3245605,33787,8,1,67446,prior,19,1,17,17.0,Total 2% Lowfat Greek Strained Yogurt with Peach,120,16
2774966,47931,6,0,16422,prior,1,5,12,,Diet Cola,77,7
3104663,4605,12,1,60821,prior,23,1,22,5.0,Yellow Onions,83,4
1137839,26882,4,0,122429,prior,23,5,10,9.0,Russet Potatoes,83,4
1892741,6873,3,0,110124,prior,9,4,14,3.0,Organic Iceberg Lettuce,83,4
3218842,24852,3,1,195231,prior,14,2,16,27.0,Banana,24,4
2017193,12980,2,0,17982,prior,6,1,10,30.0,Large Greenhouse Tomato,83,4
3065864,43772,3,1,30230,prior,5,3,14,9.0,Cherubs Heavenly Salad Tomatoes,83,4
1188549,30406,5,0,112691,prior,23,3,13,3.0,Butternut Squash,83,4
1233478,44275,9,1,118838,prior,2,0,12,12.0,Mini Blueberry Muffins,93,3
2282323,4081,12,1,8602,prior,9,4,15,8.0,On the Go Natural Lemonade Drink Mix,90,7
1115423,35649,33,1,175294,prior,32,5,10,4.0,Alkalized Water,115,7
641272,35791,16,0,3009,prior,20,0,19,16.0,Bove's Vodka Pasta Sauce,9,9
2126507,14992,11,1,119746,train,8,0,12,30.0,Green Beans,83,4
257016,29447,9,0,195588,prior,1,1,13,,"Milk, Organic, Vitamin D",84,16
554325,20940,1,1,138350,prior,9,1,15,5.0,Organic Low Fat Milk,84,16
829882,21938,4,0,113850,prior,45,0,14,1.0,Green Bell Pepper,83,4
2066005,16797,4,1,163336,train,43,1,14,7.0,Strawberries,24,4
1871575,8230,14,1,118613,prior,36,3,19,3.0,100% Recycled Bathroom Tissue,54,17
1620357,30353,15,1,121778,prior,29,0,18,8.0,Curate Cherry Lime Sparkling Water,115,7
3277895,16995,11,1,199959,prior,26,4,16,9.0,Sliced Soppressata Salame,96,20
2774456,25397,2,0,148352,prior,1,0,17,,Blasts! Reese's Peanut Butter Cups Frozen Dairy Dessert,37,1
1583135,2026,6,0,166916,prior,17,4,9,6.0,Traditional Multipack,125,19
3267189,42265,1,0,131432,prior,30,0,18,2.0,Organic Baby Carrots,123,4
930004,37728,7,0,70570,prior,3,3,16,1.0,Dips Original Ranch Mix,89,13
2020409,3800,14,1,88283,prior,5,5,14,14.0,Hampshire 100% Natural Sour Cream,108,16
265108,21903,7,1,7659,prior,9,6,18,13.0,Organic Baby Spinach,123,4
1853277,28450,2,0,178639,prior,2,6,17,30.0,Colagate Total Whitening Toothpaste,20,11
1875746,44167,12,0,183490,prior,20,3,12,9.0,Pacific Cooler Juice Drink,98,7
2573572,1773,10,0,40628,prior,1,2,16,,Whole Grain Extra Broad Noodles,131,9
2175152,44910,11,1,152137,prior,43,2,14,10.0,Organic Spring Mix Salad,123,4
1624432,40223,6,1,63075,prior,54,1,19,3.0,Chewy Yogurt Strawberry Granola Bars,3,19
135190,5011,9,1,52136,prior,25,4,12,3.0,100% Natural Whole Peeled Plum Tomatoes,81,15
2948231,24267,12,0,203177,prior,1,0,16,,Orange Seltzer Water,115,7
593849,20114,1,1,183342,prior,8,6,15,30.0,Jalapeno Peppers,83,4
2211083,8277,9,1,175545,prior,53,1,19,2.0,Apple Honeycrisp Organic,24,4
887043,26800,3,1,179852,prior,8,5,12,30.0,Organic Baby Kale Mix,123,4
985000,32689,11,1,132924,prior,8,1,15,28.0,Romaine Hearts,123,4
1051876,7781,4,1,188836,prior,7,6,15,13.0,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,16
2921576,277,10,0,153721,prior,5,3,21,8.0,Diet Root Beer,77,7
1955087,24852,2,1,138539,prior,5,6,8,8.0,Banana,24,4
3281795,19003,25,0,32707,prior,1,1,20,,Celery,83,4
2558187,36956,19,1,129675,train,6,2,19,7.0,Stringless Sugar Snap Peas,123,4
1515160,16325,12,0,61206,prior,3,0,10,30.0,Turmeric,104,13
480219,43961,2,1,54112,prior,52,6,22,5.0,Organic Peeled Whole Baby Carrots,123,4
1690876,24852,1,0,86632,prior,2,2,18,30.0,Banana,24,4
2624804,5785,8,1,81757,prior,40,4,15,9.0,Organic Reduced Fat 2% Milk,84,16
2338251,9598,11,1,149869,prior,40,1,19,6.0,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,99,15
2516496,27966,3,1,49695,prior,38,0,12,2.0,Organic Raspberries,123,4
1370306,46979,13,1,125410,prior,7,0,12,30.0,Asparagus,83,4
757921,6349,8,0,25833,prior,12,3,14,13.0,Lint Roller,114,17
3083669,21137,9,1,38931,prior,3,4,23,30.0,Organic Strawberries,24,4
3100594,20995,8,0,67648,prior,10,1,10,14.0,Organic Broccoli Florets,116,1
681377,20827,2,1,160320,prior,2,5,19,3.0,All-One Hemp Citrus Castile Bar Soap,25,11
3177028,14084,4,1,63019,prior,24,0,14,7.0,Organic Unsweetened Vanilla Almond Milk,91,16
2000786,6631,13,1,22373,prior,12,1,9,6.0,No Pulp Calcium & Vitamin D Pure Orange Juice,31,7
3234635,2513,17,1,112428,prior,16,3,14,14.0,Steam In Bag Broccoli & Cauliflower,123,4
952298,45531,1,1,9135,prior,28,1,10,7.0,Original Coffee Creamer,53,16
2277685,13176,3,1,110693,train,6,1,20,7.0,Bag of Organic Bananas,24,4
493417,37096,18,0,196879,prior,4,4,12,6.0,Jet Puffed Miniature Marshmallows,17,13
2999726,2086,3,1,131831,prior,2,2,16,17.0,Sustainably Soft Bath Tissue,54,17
1530326,46667,8,0,46173,prior,21,3,13,3.0,Organic Ginger Root,83,4
703262,24985,57,0,72709,prior,9,2,16,2.0,Organic Low Fat Black Bean Vegetable Soup,69,15
2946015,34668,2,0,123646,prior,2,0,15,11.0,Organic Large Grade AA Omega-3 Eggs,86,16
3100571,42585,4,1,25780,prior,15,1,12,7.0,Organic Extra Firm Tofu,14,20
2118127,1071,1,1,160843,prior,7,4,11,24.0,Pils,27,5
497006,26604,3,1,142986,prior,6,4,8,13.0,Organic Blackberries,24,4
3323190,28123,10,1,123063,prior,9,4,8,14.0,Organic Cut Green Beans,116,1
2829124,29675,13,0,54268,prior,7,2,15,23.0,Organic Bagged Carrots,83,4
2006460,25199,20,0,37617,prior,23,0,16,7.0,Classic Chicken Salad,1,20
2410256,41593,27,0,69800,prior,16,6,8,7.0,Blue Cheese Crumbles,21,16
1793745,21405,13,1,123367,prior,7,0,12,30.0,"Organic Red Radish, Bunch",83,4
2745878,33768,4,0,152174,prior,1,2,18,,Sinfully Sweet Campari Tomatoes,83,4
2167588,12673,16,0,68326,prior,24,6,14,7.0,Aloe Oatmeal Soap Bar,25,11
2865444,2809,4,0,48736,prior,4,5,10,5.0,Vegan Oatmeal Chocolate Chip Cookies,61,19
498598,33000,6,1,25755,prior,24,3,10,12.0,Pure Irish Butter,36,16
316311,24852,2,1,92918,prior,60,6,10,3.0,Banana,24,4
3368719,47209,3,1,72555,prior,33,2,16,25.0,Organic Hass Avocado,24,4
159457,26242,2,0,137162,prior,1,6,17,,Organic Black Lentils,63,9
3111984,47144,5,1,127812,prior,19,6,12,7.0,Unsweetened Original Almond Breeze Almond Milk,91,16
1840300,2350,2,1,70614,prior,5,0,14,8.0,60% Cacao Bittersweet Premium Baking Chips,17,13
1591422,19048,21,0,93850,prior,4,0,11,7.0,Organic Butternut Squash,83,4
1626042,45007,2,1,194109,prior,47,3,13,3.0,Organic Zucchini,83,4
3340854,20754,4,1,655,prior,31,6,8,5.0,Mediterranean Mint Gelato,37,1
2328706,24852,1,1,162883,prior,6,1,12,12.0,Banana,24,4
1323634,2133,2,1,146771,prior,25,0,15,3.0,Purina Beggin' Strips Dog Snacks Bacon Flavor,40,8
1327706,24852,1,1,183980,prior,7,2,12,9.0,Banana,24,4
1777731,5769,13,1,108127,prior,30,2,12,5.0,Organic Chicken Stock,69,15
1357826,39180,1,1,77565,prior,2,1,9,15.0,Organic Lowfat 1% Milk,84,16
637888,7662,6,0,160497,prior,3,2,11,21.0,Kick Ass Immune Activator,47,11
239718,25985,4,1,78455,prior,14,5,16,8.0,Chicken & Apple Smoked Chicken Sausage,106,12
1099322,34024,4,1,180683,train,56,4,14,3.0,Classic Soda,77,7
3275332,25146,4,1,111450,prior,33,2,9,5.0,Original Orange Juice,31,7
1309580,20738,1,1,14198,prior,29,2,13,25.0,Plain Bagels,93,3
1172194,29574,41,0,145839,prior,2,4,14,8.0,Tempt Unsweetened Vanilla Hemp Milk,91,16
477310,47591,12,1,169381,prior,11,1,14,5.0,Prosciutto di San Daniele,96,20
1697579,28836,14,1,160771,prior,17,3,3,15.0,Grapefruit Juice,31,7
1500394,14462,13,1,131726,prior,20,0,10,7.0,Sliced Black Olives,110,13
2903297,16797,2,0,202051,prior,9,6,20,8.0,Strawberries,24,4
2751829,12206,3,0,38199,prior,8,5,20,30.0,Basil Pesto,9,9
2404054,35951,10,1,97883,prior,6,0,10,7.0,Organic Unsweetened Almond Milk,91,16
2304571,9116,10,0,204878,prior,2,3,14,10.0,Stock-In-A-Box,69,15
725207,1308,30,1,109839,train,26,0,19,12.0,Organic Coconut Flour,17,13
1465735,36792,7,1,192261,prior,7,6,13,14.0,Gluten Free Omega Flax & Fiber Bread,112,3
2128692,13176,2,1,128338,prior,22,2,12,6.0,Bag of Organic Bananas,24,4
1541154,8424,1,1,47578,prior,27,3,18,1.0,Broccoli Crown,83,4
2951141,22935,2,1,94190,prior,28,6,8,0.0,Organic Yellow Onion,83,4
245975,28993,13,0,53760,prior,5,2,14,20.0,Iceberg Lettuce,83,4
1578137,8424,3,1,172727,prior,54,2,22,2.0,Broccoli Crown,83,4
3229606,30850,13,1,166676,prior,35,5,9,4.0,French Roast Ground Coffee,26,7
51826,40706,13,0,36419,prior,13,0,22,0.0,Organic Grape Tomatoes,123,4
1930591,21903,21,1,54959,prior,11,3,11,25.0,Organic Baby Spinach,123,4
134605,22819,8,0,43219,prior,5,5,10,13.0,Organic Medium Chili,59,15
1430480,28050,5,0,143118,prior,13,2,2,6.0,Donut Peach,24,4
2125092,42701,16,0,189263,prior,6,1,10,6.0,Organic Sour Cream,108,16
2365839,3599,17,1,176066,prior,3,6,7,7.0,Baked Aged White Cheddar Rice and Corn Puffs,23,19
1419123,12572,4,0,25913,prior,9,1,14,9.0,6 OZ LA PANZANELLA CROSTINI ORIGINAL CRACKERS,78,19
2916089,29388,3,0,66687,prior,18,4,2,7.0,Mandarin Orange Crispy Chick'n,42,1
3067318,34005,10,0,126498,train,18,4,13,2.0,Black Seedless Grapes,24,4
1463368,35547,8,0,187963,prior,6,1,15,5.0,Organic Baby Kale,83,4
3234636,12480,3,0,81852,prior,11,0,16,7.0,Sliced Pancetta Americana,96,20
639099,35613,1,1,54685,prior,20,5,16,13.0,Original Thin Supreme Pizza,79,1
1456054,9092,6,0,77124,prior,11,6,10,5.0,Organic Vegetable Broth,69,15
1558903,23219,10,1,53607,prior,4,3,22,30.0,Nutz Over Chocolate,3,19
887477,42828,8,1,75317,prior,37,4,16,4.0,Whipped Cream Cheese,108,16
3047319,13988,13,1,64331,prior,7,1,18,8.0,Snow Peas,83,4
1785391,19816,8,1,185736,prior,25,1,15,7.0,Sonoma Traditional Flour Tortillas 10 Count,128,3
2309098,44486,11,0,174219,prior,6,3,10,4.0,Crushed Pineapple in Juice,99,15
3388347,4472,17,1,188635,prior,34,6,19,20.0,Toasted Coconut Almondmilk Blend,91,16
815494,24236,4,1,174451,prior,24,5,11,15.0,Organic  Dried & Unsulfured Orchard Select Apricots,117,19
608771,42265,2,1,139775,prior,93,5,10,3.0,Organic Baby Carrots,123,4
116923,41065,6,1,155396,prior,7,6,22,6.0,Organic Yellow Squash,83,4
159395,18288,8,1,39289,prior,4,0,17,10.0,Sea Salt Potato Chips,107,19
1787307,31893,11,0,197161,prior,26,0,11,7.0,Ice Cream Chocolate Mocha Chip,37,1
2800913,20977,1,0,94071,prior,4,4,12,4.0,The Natural Whipped Topping,108,16
2551351,13780,16,1,103444,prior,6,5,8,0.0,Thyme,16,4
2386065,28204,2,1,18692,prior,17,3,9,2.0,Organic Fuji Apple,24,4
2305959,45633,12,1,84304,prior,15,2,8,30.0,Organic Beef Hot Dogs,106,12
3196493,11520,1,1,25363,prior,15,6,10,6.0,Large Alfresco Eggs,86,16
3190412,9163,4,0,198902,prior,7,1,10,11.0,Cranberry Walnut Salad Cafe Bowl,123,4
153596,20995,1,1,35253,prior,22,0,10,28.0,Organic Broccoli Florets,116,1
1701709,34584,8,1,152324,prior,26,0,8,7.0,Organic Sliced Peaches,116,1
1308856,23888,4,1,68068,prior,17,2,14,12.0,Hamburger Buns,43,3
2404747,9839,2,1,165202,prior,16,3,16,1.0,Organic Broccoli,83,4
2980290,30559,9,0,150778,prior,11,6,15,5.0,Certified Compostable Food Waste Bags 3 Gallon,60,17
419753,37646,4,1,30769,prior,33,4,20,6.0,Organic Gala Apples,24,4
94297,42719,1,0,189505,prior,3,6,12,0.0,Natural Premium Coconut Water,98,7
2046961,47734,3,1,204063,prior,28,6,12,30.0,Organic Green Cabbage,83,4
1827733,24852,2,1,83971,prior,12,5,9,5.0,Banana,24,4
729075,44514,2,1,30003,prior,9,1,18,7.0,Yellow Straightneck Squash,83,4
1449647,15937,10,1,150912,prior,8,2,12,6.0,Shallot,83,4
2736843,35510,6,1,198492,prior,22,1,10,4.0,Organic Yukon Gold Potato,83,4
1128539,44580,22,0,79844,prior,25,5,23,6.0,Baby Bok Choy,83,4
2974479,3957,9,0,11023,prior,1,6,13,,100% Raw Coconut Water,31,7
1287677,31553,2,0,55418,prior,3,1,12,20.0,Fresh Ginger Root,83,4
3185331,18926,3,1,151165,prior,38,1,15,4.0,Fat Free Strawberry Yogurt,120,16
1041587,26800,5,1,81017,prior,21,2,8,16.0,Organic Baby Kale Mix,123,4
3174285,6999,11,0,149285,prior,2,4,12,16.0,Organic Fresh Pressed Pure Lemon Juice,98,7
2798956,20896,2,0,199703,prior,1,3,18,,C&W Frozen Petite Sweet Corn,116,1
2739729,20413,12,1,90516,prior,17,5,15,1.0,Berry Pomegranate Chia Energy Bar,3,19
2598140,6849,1,0,127916,prior,8,6,15,10.0,Bone In Beef Rib Steak,122,12
2118810,35761,10,0,127796,prior,5,0,15,14.0,Ultra Thin Slices Sharp Cheddar Cheese,21,16
2990709,8953,5,1,205273,prior,56,0,9,3.0,Key Limes,32,4
1520526,42265,10,1,105387,prior,7,2,20,24.0,Organic Baby Carrots,123,4
489065,20738,13,0,75127,prior,1,5,9,,Plain Bagels,93,3
1006215,5351,2,1,75953,prior,15,1,11,30.0,Smoked Whitefish Salad,1,20
3297561,9755,12,1,190442,prior,49,5,11,3.0,Original Popcorn,23,19
1723747,31040,7,0,41985,prior,2,6,11,25.0,Sea Salt Pita Chips,107,19
2085192,47698,22,0,15836,prior,2,5,10,10.0,"Salisbury Steak Meal  with Gravy, Mashed Potatoes & Corn",38,1
2945146,45788,8,1,96541,prior,25,1,10,14.0,Garlic Lovers Hommus,67,20
1017782,21616,11,0,159341,prior,7,1,9,14.0,Organic Baby Arugula,123,4
908631,21077,4,1,13958,prior,62,1,7,12.0,Cara Cara Navel Orange,24,4
214664,22025,3,1,137036,prior,11,4,18,7.0,YoBaby Blueberry Apple Yogurt,120,16
2798045,25640,7,1,137764,prior,28,5,12,3.0,White Peach,24,4
1549564,5024,5,1,43905,prior,7,4,11,23.0,Dark Red Kidney Beans No Salt Added,59,15
109132,18465,1,1,32463,prior,22,5,10,4.0,Organic Grade A Free Range Large Brown Eggs,86,16
1679770,27845,2,1,81708,prior,4,2,22,6.0,Organic Whole Milk,84,16
2531894,39877,12,0,203066,prior,6,1,18,6.0,Organic Granny Smith Apple,24,4
584433,25705,4,1,197361,prior,3,4,9,15.0,Butterhead Lettuce,83,4
1104933,47766,4,1,65278,prior,23,1,14,7.0,Organic Avocado,24,4
2652869,37029,2,0,55221,prior,30,4,21,4.0,Cream Cheese Spread,108,16
512059,39495,17,0,134746,prior,2,1,12,10.0,Cauliflower Rice,123,4
3256581,27966,12,1,103669,prior,35,6,10,7.0,Organic Raspberries,123,4
1680551,3382,7,1,174862,prior,6,2,16,6.0,Organic Eggplant,83,4
3318794,46632,4,0,165851,prior,31,3,10,5.0,Gold Kiwi,24,4
2400731,13966,23,1,55979,prior,20,0,12,5.0,Chicken Pot Pie,38,1
1988953,17630,3,1,127185,prior,8,5,11,14.0,YoKids Squeeze! Organic Strawberry Flavor Yogurt,120,16
1660353,47209,2,1,89893,prior,12,6,8,13.0,Organic Hass Avocado,24,4
1462323,25346,4,1,99126,prior,37,6,22,5.0,Peanut Butter Dark Chocolate + Protein Bar,3,19
1686576,45830,7,0,135886,prior,9,3,10,3.0,Koloa Estate Medium Roast Ground Coffee,26,7
2544669,39024,8,1,75098,prior,19,3,11,30.0,Edamame In Pod,116,1
2527586,22395,3,0,91625,prior,28,3,14,9.0,Tomato Sauce,81,15
833068,48626,14,0,203074,prior,15,6,16,4.0,Coconut Blended Greek Yogurt,120,16
2079717,37766,5,1,158618,prior,18,5,13,10.0,XL Emerald White Seedless Grapes,123,4
1978624,5074,6,0,17508,prior,3,0,14,6.0,Frozen Five Cheese Ravioli,38,1
174586,13575,2,1,164512,prior,19,4,15,7.0,Apples,24,4
1713930,17794,22,1,59893,prior,8,5,13,13.0,Carrots,83,4
687953,34969,10,1,8253,prior,3,1,15,5.0,Red Vine Tomato,83,4
3393491,21137,1,1,67740,prior,19,5,9,4.0,Organic Strawberries,24,4
2186173,9294,5,1,138470,prior,5,3,19,5.0,Reduced Fat Chocolate Sandwich Cookies,61,19
163109,14651,10,1,73617,prior,22,1,13,7.0,Tommy/Kent/Keitt/Haden Mango,24,4
2521618,49497,2,1,140395,prior,83,6,8,1.0,Organic Hot Jalapeno Nacho Slices,110,13
1634773,25890,19,1,176311,prior,3,6,18,6.0,Boneless Skinless Chicken Breasts,49,12
2653263,23909,5,1,18764,prior,15,3,14,5.0,2% Reduced Fat Milk,84,16
1606563,5450,1,1,135517,prior,22,3,11,28.0,Small Hass Avocado,24,4
2786807,13870,6,0,26078,prior,14,4,9,20.0,Lightly Salted Baked Snap Pea Crisps,107,19
232112,29326,20,0,183865,prior,4,2,21,7.0,Gluten Free Original English Muffins,93,3
2242912,31343,7,1,105054,prior,13,2,12,9.0,Shredded Mild Cheddar Cheese,21,16
2580358,28204,4,1,50318,prior,2,0,16,8.0,Organic Fuji Apple,24,4
2380161,21903,4,1,22058,prior,19,2,10,17.0,Organic Baby Spinach,123,4
1674363,12144,5,0,116392,prior,2,6,14,12.0,Gluten-Free Chicken Nuggets,34,1
1672376,4799,11,0,86411,prior,7,2,13,6.0,Shredded Parmesan,21,16
1521179,9337,7,0,66060,prior,2,1,10,23.0,Purity Farms Ghee Clarified Butter,36,16
2504378,17526,6,1,166795,prior,41,6,9,4.0,70% Dark Chocolate Salted Almond Bar,45,19
1548575,47890,11,1,129542,prior,25,6,21,6.0,Whole White Mushrooms,123,4
323517,28842,20,0,44178,prior,1,5,0,,Bunched Cilantro,16,4
2797686,11152,10,0,178703,prior,12,1,11,22.0,Eggplant Large,83,4
1941609,4932,3,0,131959,prior,68,5,11,2.0,Vanilla Bean Ice Cream,37,1
2644998,47209,7,1,7103,prior,16,5,9,7.0,Organic Hass Avocado,24,4
1848998,37229,3,0,150188,prior,3,3,19,4.0,"Bathroom Tissue Softness & Strength, Double Rolls",54,17
1171025,31717,28,1,203037,train,14,5,14,30.0,Organic Cilantro,16,4
1888381,4871,1,0,146111,prior,14,0,22,3.0,Good Buddy USA Rawhide Braid Dog Chews,40,8
2548247,29269,3,1,115784,prior,16,0,17,5.0,Dunkin' Turbo Ground Coffee,26,7
3188550,10711,10,0,143961,prior,17,0,12,4.0,Chopped Basil,116,1
53483,31506,6,1,156770,prior,37,3,14,9.0,Extra Virgin Olive Oil,19,13
284357,12456,16,1,105649,prior,10,0,14,5.0,Organic Sunday Bacon,106,12
3383948,10368,2,0,188700,prior,6,2,19,2.0,"Chili Pepper, Assorted",66,6
851167,48004,2,1,137198,prior,6,4,7,7.0,Danimals Strawberry Explosion Flavored Smoothie,120,16
890335,8245,14,0,132493,prior,18,1,7,7.0,RedHot Hot Buffalo Wings Sauce,72,13
436815,20118,6,1,20965,prior,98,2,15,1.0,Krinkle Cut Sea Salt Potato Chips,107,19
2503516,28842,6,0,122466,prior,6,0,9,30.0,Bunched Cilantro,16,4
808175,8571,6,0,28942,prior,2,5,11,30.0,Baby Cucumbers,32,4
2027555,27156,32,1,22410,prior,9,2,10,8.0,Organic Black Beans,59,15
100999,36953,2,0,110457,prior,27,1,7,8.0,Free & Clear Automatic Dishwasher Detergent,74,17
621345,33290,10,1,21435,prior,11,0,14,7.0,Lemon Verbena Dish Soap,74,17
3215528,21288,4,1,7234,prior,3,0,13,30.0,Blackberries,24,4
2699701,47766,5,1,141784,prior,5,4,5,30.0,Organic Avocado,24,4
